latitude,longitude,elevation_m
1.449,-73.3051,651
1.449,-73.1017,653
1.449,-72.8983,149
1.449,-72.6949,1176
1.449,-72.4915,1422
1.449,-72.2881,843
1.449,-72.0847,517
1.449,-71.8814,227
1.449,-71.678,273
1.449,-71.4746,36
1.449,-71.2712,242
1.449,-71.0678,342
1.449,-70.8644,307
1.449,-70.661,147
1.449,-70.4576,216
1.449,-70.2542,185
1.449,-70.0508,111
1.449,-69.8475,75
1.449,-69.6441,205
1.449,-69.4407,116
1.449,-69.2373,215
1.449,-69.0339,311
1.449,-68.8305,116
1.449,-68.6271,288
1.449,-68.4237,154
1.449,-68.2203,176
1.449,-68.0169,230
1.449,-67.8136,346
1.449,-67.6102,78
1.449,-67.4068,372
1.449,-67.2034,120
1.449,-67.0,150
1.6735,-79.0,2610
1.6735,-78.7966,2533
1.6735,-78.5932,1428
1.6735,-78.3898,1359
1.6735,-78.1864,1475
1.6735,-77.9831,2197
1.6735,-77.7797,1469
1.6735,-77.5763,2426
1.6735,-77.3729,2608
1.6735,-77.1695,3027
1.6735,-76.9661,2535
1.6735,-76.7627,1724
1.6735,-76.5593,2839
1.6735,-76.3559,2054
1.6735,-76.1525,974
1.6735,-75.9492,2460
1.6735,-75.7458,2195
1.6735,-75.5424,1663
1.6735,-75.339,1665
1.6735,-75.1356,1932
1.6735,-74.9322,556
1.6735,-74.7288,533
1.6735,-74.5254,649
1.6735,-74.322,919
1.6735,-74.1186,1039
1.6735,-73.9153,1599
1.6735,-73.7119,1056
1.6735,-73.5085,828
1.6735,-73.3051,853
1.6735,-73.1017,1129
1.6735,-72.8983,1003
1.6735,-72.6949,840
1.6735,-72.4915,670
1.6735,-72.2881,1308
1.6735,-72.0847,1177
1.6735,-71.8814,296
1.6735,-71.678,163
1.6735,-71.4746,0
1.6735,-71.2712,129
1.6735,-71.0678,171
1.6735,-70.8644,220
1.6735,-70.661,250
1.6735,-70.4576,274
1.6735,-70.2542,271
1.6735,-70.0508,213
1.6735,-69.8475,221
1.6735,-69.6441,263
1.6735,-69.4407,36
1.6735,-69.2373,169
1.6735,-69.0339,329
1.6735,-68.8305,173
1.6735,-68.6271,349
1.6735,-68.4237,85
1.6735,-68.2203,56
1.6735,-68.0169,78
1.6735,-67.8136,209
1.6735,-67.6102,209
1.6735,-67.4068,121
1.6735,-67.2034,276
1.6735,-67.0,56
1.898,-79.0,2020
1.898,-78.7966,2606
1.898,-78.5932,2114
1.898,-78.3898,3027
1.898,-78.1864,1785
1.898,-77.9831,2037
1.898,-77.7797,2271
1.898,-77.5763,2173
1.898,-77.3729,2108
1.898,-77.1695,1886
1.898,-76.9661,2145
1.898,-76.7627,2652
1.898,-76.5593,2257
1.898,-76.3559,1756
1.898,-76.1525,1757
1.898,-75.9492,2147
1.898,-75.7458,1993
1.898,-75.5424,2120
1.898,-75.339,2818
1.898,-75.1356,2001
1.898,-74.9322,730
1.898,-74.7288,1249
1.898,-74.5254,1416
1.898,-74.322,595
1.898,-74.1186,749
1.898,-73.9153,1096
1.898,-73.7119,1154
1.898,-73.5085,560
1.898,-73.3051,464
1.898,-73.1017,420
1.898,-72.8983,785
1.898,-72.6949,1460
1.898,-72.4915,850
1.898,-72.2881,1381
1.898,-72.0847,885
1.898,-71.8814,231
1.898,-71.678,166
1.898,-71.4746,298
1.898,-71.2712,112
1.898,-71.0678,62
1.898,-70.8644,59
1.898,-70.661,256
1.898,-70.4576,246
1.898,-70.2542,128
1.898,-70.0508,157
1.898,-69.8475,223
1.898,-69.6441,150
1.898,-69.4407,206
1.898,-69.2373,307
1.898,-69.0339,75
1.898,-68.8305,285
1.898,-68.6271,357
1.898,-68.4237,101
1.898,-68.2203,313
1.898,-68.0169,262
1.898,-67.8136,144
1.898,-67.6102,357
1.898,-67.4068,55
1.898,-67.2034,219
1.898,-67.0,143
2.1224,-79.0,1343
2.1224,-78.7966,2476
2.1224,-78.5932,1562
2.1224,-78.3898,2767
2.1224,-78.1864,1454
2.1224,-77.9831,1521
2.1224,-77.7797,1831
2.1224,-77.5763,2022
2.1224,-77.3729,1790
2.1224,-77.1695,2350
2.1224,-76.9661,2714
2.1224,-76.7627,1759
2.1224,-76.5593,2150
2.1224,-76.3559,2253
2.1224,-76.1525,2389
2.1224,-75.9492,2292
2.1224,-75.7458,2203
2.1224,-75.5424,1317
2.1224,-75.339,3067
2.1224,-75.1356,1373
2.1224,-74.9322,1037
2.1224,-74.7288,1259
2.1224,-74.5254,1539
2.1224,-74.322,812
2.1224,-74.1186,599
2.1224,-73.9153,775
2.1224,-73.7119,706
2.1224,-73.5085,766
2.1224,-73.3051,860
2.1224,-73.1017,892
2.1224,-72.8983,1067
2.1224,-72.6949,788
2.1224,-72.4915,1428
2.1224,-72.2881,809
2.1224,-72.0847,926
2.1224,-71.8814,220
2.1224,-71.678,220
2.1224,-71.4746,214
2.1224,-71.2712,208
2.1224,-71.0678,136
2.1224,-70.8644,281
2.1224,-70.661,130
2.1224,-70.4576,378
2.1224,-70.2542,298
2.1224,-70.0508,73
2.1224,-69.8475,60
2.1224,-69.6441,428
2.1224,-69.4407,244
2.1224,-69.2373,338
2.1224,-69.0339,303
2.1224,-68.8305,81
2.1224,-68.6271,241
2.1224,-68.4237,292
2.1224,-68.2203,0
2.1224,-68.0169,198
2.1224,-67.8136,130
2.1224,-67.6102,119
2.1224,-67.4068,14
2.1224,-67.2034,141
2.1224,-67.0,220
2.3469,-79.0,1978
2.3469,-78.7966,1473
2.3469,-78.5932,2432
2.3469,-78.3898,2920
2.3469,-78.1864,2211
2.3469,-77.9831,1739
2.3469,-77.7797,1838
2.3469,-77.5763,1515
2.3469,-77.3729,2084
2.3469,-77.1695,1978
2.3469,-76.9661,2405
2.3469,-76.7627,2145
2.3469,-76.5593,1948
2.3469,-76.3559,1971
2.3469,-76.1525,1838
2.3469,-75.9492,1975
2.3469,-75.7458,2405
2.3469,-75.5424,2197
2.3469,-75.339,2147
2.3469,-75.1356,2195
2.3469,-74.9322,1496
2.3469,-74.7288,1360
2.3469,-74.5254,962
2.3469,-74.322,746
2.3469,-74.1186,567
2.3469,-73.9153,1390
2.3469,-73.7119,504
2.3469,-73.5085,1518
2.3469,-73.3051,1522
2.3469,-73.1017,1374
2.3469,-72.8983,1028
2.3469,-72.6949,1233
2.3469,-72.4915,1018
2.3469,-72.2881,818
2.3469,-72.0847,349
2.3469,-71.8814,228
2.3469,-71.678,135
2.3469,-71.4746,44
2.3469,-71.2712,406
2.3469,-71.0678,59
2.3469,-70.8644,245
2.3469,-70.661,108
2.3469,-70.4576,263
2.3469,-70.2542,232
2.3469,-70.0508,328
2.3469,-69.8475,231
2.3469,-69.6441,15
2.3469,-69.4407,133
2.3469,-69.2373,96
2.3469,-69.0339,325
2.3469,-68.8305,119
2.3469,-68.6271,168
2.3469,-68.4237,195
2.3469,-68.2203,186
2.3469,-68.0169,287
2.3469,-67.8136,170
2.3469,-67.6102,202
2.3469,-67.4068,160
2.3469,-67.2034,345
2.3469,-67.0,85
2.5714,-79.0,2165
2.5714,-78.7966,2629
2.5714,-78.5932,1809
2.5714,-78.3898,1975
2.5714,-78.1864,1357
2.5714,-77.9831,2017
2.5714,-77.7797,1828
2.5714,-77.5763,2908
2.5714,-77.3729,1425
2.5714,-77.1695,1790
2.5714,-76.9661,1593
2.5714,-76.7627,1992
2.5714,-76.5593,2849
2.5714,-76.3559,2296
2.5714,-76.1525,2384
2.5714,-75.9492,2200
2.5714,-75.7458,2645
2.5714,-75.5424,1827
2.5714,-75.339,1740
2.5714,-75.1356,2404
2.5714,-74.9322,1136
2.5714,-74.7288,1146
2.5714,-74.5254,277
2.5714,-74.322,933
2.5714,-74.1186,584
2.5714,-73.9153,811
2.5714,-73.7119,398
2.5714,-73.5085,844
2.5714,-73.3051,611
2.5714,-73.1017,781
2.5714,-72.8983,590
2.5714,-72.6949,472
2.5714,-72.4915,90
2.5714,-72.2881,667
2.5714,-72.0847,856
2.5714,-71.8814,197
2.5714,-71.678,122
2.5714,-71.4746,107
2.5714,-71.2712,468
2.5714,-71.0678,34
2.5714,-70.8644,141
2.5714,-70.661,34
2.5714,-70.4576,297
2.5714,-70.2542,415
2.5714,-70.0508,236
2.5714,-69.8475,35
2.5714,-69.6441,331
2.5714,-69.4407,145
2.5714,-69.2373,140
2.5714,-69.0339,160
2.5714,-68.8305,65
2.5714,-68.6271,227
2.5714,-68.4237,196
2.5714,-68.2203,152
2.5714,-68.0169,297
2.5714,-67.8136,140
2.5714,-67.6102,166
2.5714,-67.4068,197
2.5714,-67.2034,228
2.5714,-67.0,333
2.7959,-79.0,1341
2.7959,-78.7966,1841
2.7959,-78.5932,2560
2.7959,-78.3898,2715
2.7959,-78.1864,1255
2.7959,-77.9831,2436
2.7959,-77.7797,1638
2.7959,-77.5763,2023
2.7959,-77.3729,1954
2.7959,-77.1695,1221
2.7959,-76.9661,2100
2.7959,-76.7627,1578
2.7959,-76.5593,1858
2.7959,-76.3559,1863
2.7959,-76.1525,1737
2.7959,-75.9492,1736
2.7959,-75.7458,2242
2.7959,-75.5424,2834
2.7959,-75.339,2483
2.7959,-75.1356,1951
2.7959,-74.9322,1056
2.7959,-74.7288,1623
2.7959,-74.5254,785
2.7959,-74.322,822
2.7959,-74.1186,1025
2.7959,-73.9153,361
2.7959,-73.7119,1338
2.7959,-73.5085,733
2.7959,-73.3051,824
2.7959,-73.1017,965
2.7959,-72.8983,954
2.7959,-72.6949,426
2.7959,-72.4915,719
2.7959,-72.2881,781
2.7959,-72.0847,1250
2.7959,-71.8814,372
2.7959,-71.678,65
2.7959,-71.4746,233
2.7959,-71.2712,113
2.7959,-71.0678,345
2.7959,-70.8644,138
2.7959,-70.661,25
2.7959,-70.4576,112
2.7959,-70.2542,169
2.7959,-70.0508,154
2.7959,-69.8475,262
2.7959,-69.6441,119
2.7959,-69.4407,320
2.7959,-69.2373,100
2.7959,-69.0339,289
2.7959,-68.8305,240
2.7959,-68.6271,196
2.7959,-68.4237,311
2.7959,-68.2203,173
2.7959,-68.0169,239
2.7959,-67.8136,346
2.7959,-67.6102,276
2.7959,-67.4068,234
2.7959,-67.2034,80
2.7959,-67.0,224
3.0204,-79.0,1684
3.0204,-78.7966,1983
3.0204,-78.5932,1408
3.0204,-78.3898,1990
3.0204,-78.1864,1995
3.0204,-77.9831,2900
3.0204,-77.7797,2252
3.0204,-77.5763,2194
3.0204,-77.3729,1862
3.0204,-77.1695,2519
3.0204,-76.9661,2399
3.0204,-76.7627,1355
3.0204,-76.5593,1932
3.0204,-76.3559,1883
3.0204,-76.1525,2027
3.0204,-75.9492,2490
3.0204,-75.7458,2330
3.0204,-75.5424,2678
3.0204,-75.339,1723
3.0204,-75.1356,1546
3.0204,-74.9322,1043
3.0204,-74.7288,1161
3.0204,-74.5254,709
3.0204,-74.322,336
3.0204,-74.1186,1496
3.0204,-73.9153,1432
3.0204,-73.7119,1065
3.0204,-73.5085,1113
3.0204,-73.3051,1030
3.0204,-73.1017,899
3.0204,-72.8983,978
3.0204,-72.6949,862
3.0204,-72.4915,893
3.0204,-72.2881,1157
3.0204,-72.0847,978
3.0204,-71.8814,180
3.0204,-71.678,208
3.0204,-71.4746,201
3.0204,-71.2712,267
3.0204,-71.0678,305
3.0204,-70.8644,337
3.0204,-70.661,134
3.0204,-70.4576,265
3.0204,-70.2542,300
3.0204,-70.0508,111
3.0204,-69.8475,230
3.0204,-69.6441,115
3.0204,-69.4407,275
3.0204,-69.2373,150
3.0204,-69.0339,102
3.0204,-68.8305,242
3.0204,-68.6271,204
3.0204,-68.4237,264
3.0204,-68.2203,185
3.0204,-68.0169,263
3.0204,-67.8136,173
3.0204,-67.6102,172
3.0204,-67.4068,256
3.0204,-67.2034,222
3.0204,-67.0,256
3.2449,-79.0,1787
3.2449,-78.7966,1636
3.2449,-78.5932,1541
3.2449,-78.3898,2566
3.2449,-78.1864,2185
3.2449,-77.9831,2325
3.2449,-77.7797,2237
3.2449,-77.5763,1072
3.2449,-77.3729,2650
3.2449,-77.1695,2556
3.2449,-76.9661,2323
3.2449,-76.7627,2137
3.2449,-76.5593,1975
3.2449,-76.3559,2417
3.2449,-76.1525,2569
3.2449,-75.9492,602
3.2449,-75.7458,2034
3.2449,-75.5424,2700
3.2449,-75.339,1091
3.2449,-75.1356,781
3.2449,-74.9322,815
3.2449,-74.7288,850
3.2449,-74.5254,1112
3.2449,-74.322,1128
3.2449,-74.1186,951
3.2449,-73.9153,1292
3.2449,-73.7119,1791
3.2449,-73.5085,636
3.2449,-73.3051,1730
3.2449,-73.1017,1254
3.2449,-72.8983,570
3.2449,-72.6949,947
3.2449,-72.4915,1104
3.2449,-72.2881,959
3.2449,-72.0847,1149
3.2449,-71.8814,166
3.2449,-71.678,142
3.2449,-71.4746,265
3.2449,-71.2712,339
3.2449,-71.0678,131
3.2449,-70.8644,249
3.2449,-70.661,342
3.2449,-70.4576,30
3.2449,-70.2542,92
3.2449,-70.0508,104
3.2449,-69.8475,254
3.2449,-69.6441,187
3.2449,-69.4407,175
3.2449,-69.2373,243
3.2449,-69.0339,262
3.2449,-68.8305,159
3.2449,-68.6271,109
3.2449,-68.4237,64
3.2449,-68.2203,150
3.2449,-68.0169,101
3.2449,-67.8136,321
3.2449,-67.6102,190
3.2449,-67.4068,114
3.2449,-67.2034,105
3.2449,-67.0,81
3.4694,-79.0,2541
3.4694,-78.7966,1732
3.4694,-78.5932,1530
3.4694,-78.3898,1919
3.4694,-78.1864,2140
3.4694,-77.9831,2167
3.4694,-77.7797,1680
3.4694,-77.5763,2708
3.4694,-77.3729,1315
3.4694,-77.1695,2083
3.4694,-76.9661,1922
3.4694,-76.7627,2308
3.4694,-76.5593,2279
3.4694,-76.3559,1826
3.4694,-76.1525,2599
3.4694,-75.9492,1738
3.4694,-75.7458,2501
3.4694,-75.5424,3403
3.4694,-75.339,1565
3.4694,-75.1356,1823
3.4694,-74.9322,819
3.4694,-74.7288,1309
3.4694,-74.5254,1286
3.4694,-74.322,1231
3.4694,-74.1186,799
3.4694,-73.9153,834
3.4694,-73.7119,549
3.4694,-73.5085,870
3.4694,-73.3051,1069
3.4694,-73.1017,853
3.4694,-72.8983,822
3.4694,-72.6949,759
3.4694,-72.4915,811
3.4694,-72.2881,1477
3.4694,-72.0847,975
3.4694,-71.8814,189
3.4694,-71.678,160
3.4694,-71.4746,240
3.4694,-71.2712,210
3.4694,-71.0678,275
3.4694,-70.8644,332
3.4694,-70.661,203
3.4694,-70.4576,99
3.4694,-70.2542,219
3.4694,-70.0508,189
3.4694,-69.8475,74
3.4694,-69.6441,304
3.4694,-69.4407,170
3.4694,-69.2373,163
3.4694,-69.0339,413
3.4694,-68.8305,138
3.4694,-68.6271,156
3.4694,-68.4237,139
3.4694,-68.2203,330
3.4694,-68.0169,260
3.4694,-67.8136,322
3.4694,-67.6102,50
3.4694,-67.4068,169
3.4694,-67.2034,402
3.4694,-67.0,334
3.6939,-79.0,1665
3.6939,-78.7966,1695
3.6939,-78.5932,1585
3.6939,-78.3898,1959
3.6939,-78.1864,2596
3.6939,-77.9831,2284
3.6939,-77.7797,1402
3.6939,-77.5763,2143
3.6939,-77.3729,3579
3.6939,-77.1695,2194
3.6939,-76.9661,2570
3.6939,-76.7627,2645
3.6939,-76.5593,3086
3.6939,-76.3559,1416
3.6939,-76.1525,1868
3.6939,-75.9492,1918
3.6939,-75.7458,1624
3.6939,-75.5424,2068
3.6939,-75.339,1832
3.6939,-75.1356,2417
3.6939,-74.9322,839
3.6939,-74.7288,1077
3.6939,-74.5254,1122
3.6939,-74.322,853
3.6939,-74.1186,808
3.6939,-73.9153,495
3.6939,-73.7119,1153
3.6939,-73.5085,1509
3.6939,-73.3051,897
3.6939,-73.1017,1188
3.6939,-72.8983,789
3.6939,-72.6949,1138
3.6939,-72.4915,1195
3.6939,-72.2881,664
3.6939,-72.0847,941
3.6939,-71.8814,322
3.6939,-71.678,273
3.6939,-71.4746,232
3.6939,-71.2712,123
3.6939,-71.0678,251
3.6939,-70.8644,204
3.6939,-70.661,272
3.6939,-70.4576,274
3.6939,-70.2542,73
3.6939,-70.0508,282
3.6939,-69.8475,190
3.6939,-69.6441,382
3.6939,-69.4407,166
3.6939,-69.2373,87
3.6939,-69.0339,482
3.6939,-68.8305,237
3.6939,-68.6271,291
3.6939,-68.4237,222
3.6939,-68.2203,150
3.6939,-68.0169,321
3.6939,-67.8136,179
3.6939,-67.6102,358
3.6939,-67.4068,319
3.6939,-67.2034,176
3.6939,-67.0,202
3.9184,-79.0,1441
3.9184,-78.7966,2339
3.9184,-78.5932,2068
3.9184,-78.3898,1497
3.9184,-78.1864,1956
3.9184,-77.9831,3003
3.9184,-77.7797,2646
3.9184,-77.5763,1446
3.9184,-77.3729,1982
3.9184,-77.1695,1851
3.9184,-76.9661,1338
3.9184,-76.7627,2236
3.9184,-76.5593,1370
3.9184,-76.3559,2364
3.9184,-76.1525,1641
3.9184,-75.9492,1648
3.9184,-75.7458,2877
3.9184,-75.5424,1401
3.9184,-75.339,1759
3.9184,-75.1356,2121
3.9184,-74.9322,1009
3.9184,-74.7288,647
3.9184,-74.5254,1252
3.9184,-74.322,650
3.9184,-74.1186,1414
3.9184,-73.9153,1165
3.9184,-73.7119,1055
3.9184,-73.5085,1005
3.9184,-73.3051,1084
3.9184,-73.1017,1446
3.9184,-72.8983,1300
3.9184,-72.6949,1157
3.9184,-72.4915,1540
3.9184,-72.2881,1026
3.9184,-72.0847,723
3.9184,-71.8814,278
3.9184,-71.678,191
3.9184,-71.4746,228
3.9184,-71.2712,261
3.9184,-71.0678,90
3.9184,-70.8644,139
3.9184,-70.661,321
3.9184,-70.4576,217
3.9184,-70.2542,278
3.9184,-70.0508,80
3.9184,-69.8475,389
3.9184,-69.6441,277
3.9184,-69.4407,118
3.9184,-69.2373,48
3.9184,-69.0339,246
3.9184,-68.8305,304
3.9184,-68.6271,244
3.9184,-68.4237,92
3.9184,-68.2203,112
3.9184,-68.0169,162
3.9184,-67.8136,158
3.9184,-67.6102,326
3.9184,-67.4068,187
3.9184,-67.2034,71
3.9184,-67.0,62
4.1429,-79.0,2046
4.1429,-78.7966,1611
4.1429,-78.5932,2099
4.1429,-78.3898,1286
4.1429,-78.1864,2003
4.1429,-77.9831,1224
4.1429,-77.7797,1041
4.1429,-77.5763,2349
4.1429,-77.3729,2626
4.1429,-77.1695,2554
4.1429,-76.9661,2385
4.1429,-76.7627,1385
4.1429,-76.5593,1715
4.1429,-76.3559,2119
4.1429,-76.1525,1500
4.1429,-75.9492,2303
4.1429,-75.7458,2347
4.1429,-75.5424,2178
4.1429,-75.339,1871
4.1429,-75.1356,1250
4.1429,-74.9322,709
4.1429,-74.7288,932
4.1429,-74.5254,675
4.1429,-74.322,964
4.1429,-74.1186,1758
4.1429,-73.9153,904
4.1429,-73.7119,794
4.1429,-73.5085,1135
4.1429,-73.3051,874
4.1429,-73.1017,380
4.1429,-72.8983,975
4.1429,-72.6949,809
4.1429,-72.4915,1032
4.1429,-72.2881,1372
4.1429,-72.0847,898
4.1429,-71.8814,290
4.1429,-71.678,111
4.1429,-71.4746,237
4.1429,-71.2712,163
4.1429,-71.0678,221
4.1429,-70.8644,290
4.1429,-70.661,254
4.1429,-70.4576,49
4.1429,-70.2542,104
4.1429,-70.0508,116
4.1429,-69.8475,317
4.1429,-69.6441,160
4.1429,-69.4407,204
4.1429,-69.2373,162
4.1429,-69.0339,182
4.1429,-68.8305,281
4.1429,-68.6271,157
4.1429,-68.4237,147
4.1429,-68.2203,110
4.1429,-68.0169,219
4.1429,-67.8136,190
4.1429,-67.6102,0
4.1429,-67.4068,145
4.1429,-67.2034,222
4.1429,-67.0,256
4.3673,-79.0,2572
4.3673,-78.7966,2268
4.3673,-78.5932,2097
4.3673,-78.3898,1736
4.3673,-78.1864,1349
4.3673,-77.9831,1471
4.3673,-77.7797,1117
4.3673,-77.5763,2070
4.3673,-77.3729,1837
4.3673,-77.1695,1762
4.3673,-76.9661,2259
4.3673,-76.7627,2816
4.3673,-76.5593,2174
4.3673,-76.3559,2556
4.3673,-76.1525,2532
4.3673,-75.9492,2114
4.3673,-75.7458,2223
4.3673,-75.5424,1907
4.3673,-75.339,2268
4.3673,-75.1356,1310
4.3673,-74.9322,820
4.3673,-74.7288,1081
4.3673,-74.5254,1029
4.3673,-74.322,851
4.3673,-74.1186,1427
4.3673,-73.9153,919
4.3673,-73.7119,782
4.3673,-73.5085,824
4.3673,-73.3051,1055
4.3673,-73.1017,672
4.3673,-72.8983,1587
4.3673,-72.6949,1554
4.3673,-72.4915,876
4.3673,-72.2881,822
4.3673,-72.0847,781
4.3673,-71.8814,1
4.3673,-71.678,299
4.3673,-71.4746,246
4.3673,-71.2712,184
4.3673,-71.0678,330
4.3673,-70.8644,51
4.3673,-70.661,326
4.3673,-70.4576,174
4.3673,-70.2542,225
4.3673,-70.0508,178
4.3673,-69.8475,99
4.3673,-69.6441,247
4.3673,-69.4407,100
4.3673,-69.2373,227
4.3673,-69.0339,79
4.3673,-68.8305,174
4.3673,-68.6271,76
4.3673,-68.4237,236
4.3673,-68.2203,268
4.3673,-68.0169,257
4.3673,-67.8136,227
4.3673,-67.6102,142
4.3673,-67.4068,85
4.3673,-67.2034,135
4.3673,-67.0,250
4.5918,-79.0,2388
4.5918,-78.7966,2461
4.5918,-78.5932,2465
4.5918,-78.3898,2536
4.5918,-78.1864,2198
4.5918,-77.9831,2202
4.5918,-77.7797,2831
4.5918,-77.5763,2368
4.5918,-77.3729,1885
4.5918,-77.1695,1976
4.5918,-76.9661,2667
4.5918,-76.7627,1940
4.5918,-76.5593,2472
4.5918,-76.3559,1898
4.5918,-76.1525,2880
4.5918,-75.9492,1891
4.5918,-75.7458,2548
4.5918,-75.5424,1881
4.5918,-75.339,2256
4.5918,-75.1356,2730
4.5918,-74.9322,1253
4.5918,-74.7288,1641
4.5918,-74.5254,479
4.5918,-74.322,415
4.5918,-74.1186,1298
4.5918,-73.9153,750
4.5918,-73.7119,1480
4.5918,-73.5085,1328
4.5918,-73.3051,735
4.5918,-73.1017,1005
4.5918,-72.8983,1482
4.5918,-72.6949,1729
4.5918,-72.4915,781
4.5918,-72.2881,818
4.5918,-72.0847,1071
4.5918,-71.8814,319
4.5918,-71.678,320
4.5918,-71.4746,361
4.5918,-71.2712,296
4.5918,-71.0678,146
4.5918,-70.8644,349
4.5918,-70.661,342
4.5918,-70.4576,350
4.5918,-70.2542,270
4.5918,-70.0508,234
4.5918,-69.8475,225
4.5918,-69.6441,140
4.5918,-69.4407,243
4.5918,-69.2373,144
4.5918,-69.0339,86
4.5918,-68.8305,107
4.5918,-68.6271,209
4.5918,-68.4237,274
4.5918,-68.2203,210
4.5918,-68.0169,260
4.5918,-67.8136,177
4.5918,-67.6102,92
4.5918,-67.4068,177
4.5918,-67.2034,333
4.5918,-67.0,201
4.8163,-79.0,1722
4.8163,-78.7966,2107
4.8163,-78.5932,2269
4.8163,-78.3898,2010
4.8163,-78.1864,2771
4.8163,-77.9831,2061
4.8163,-77.7797,2661
4.8163,-77.5763,1760
4.8163,-77.3729,1744
4.8163,-77.1695,2659
4.8163,-76.9661,1645
4.8163,-76.7627,1533
4.8163,-76.5593,1666
4.8163,-76.3559,1918
4.8163,-76.1525,2144
4.8163,-75.9492,1663
4.8163,-75.7458,1763
4.8163,-75.5424,2329
4.8163,-75.339,2743
4.8163,-75.1356,2684
4.8163,-74.9322,968
4.8163,-74.7288,886
4.8163,-74.5254,526
4.8163,-74.322,1051
4.8163,-74.1186,1436
4.8163,-73.9153,1563
4.8163,-73.7119,1296
4.8163,-73.5085,1499
4.8163,-73.3051,1408
4.8163,-73.1017,1318
4.8163,-72.8983,864
4.8163,-72.6949,777
4.8163,-72.4915,1377
4.8163,-72.2881,1194
4.8163,-72.0847,838
4.8163,-71.8814,104
4.8163,-71.678,243
4.8163,-71.4746,347
4.8163,-71.2712,298
4.8163,-71.0678,129
